logFC	logCPM	PValue	FDR
gene_3262	-1.81834175198233	5.87258629095852	7.82745608270076e-06	0.000205266509008642
gene_314	-2.60771066658642	4.47127188637087	7.83091731867968e-06	0.000205266509008642
gene_1995	-1.7044120479755	9.12880576419478	7.85441500386819e-06	0.000205612958216445
gene_1229	-1.98201701374167	5.26365676622883	7.91435549030188e-06	0.000206839884202395
gene_3594	-1.93082524517777	5.82367678209357	7.92439167096258e-06	0.000206839884202395
gene_2357	-1.89774807880895	5.8759753673756	7.93230955916186e-06	0.000206839884202395
gene_567	-1.82300333881719	5.99297571925713	7.95742684974046e-06	0.000207224657545325
gene_3988	1.92015995918259	8.71754715235629	7.99445019147673e-06	0.000207918080402516
gene_456	-2.17525182093275	5.25941286533417	8.09107961993947e-06	0.00021015791220622
gene_589	-2.04647979406762	5.74444868617804	8.15343539070334e-06	0.00021114894028758
gene_3183	-1.89275909639655	6.16196816133802	8.15854136716007e-06	0.00021114894028758
gene_373	-1.76949567994804	8.91484437292621	8.16090654211498e-06	0.00021114894028758
gene_3493	-1.89501224069217	5.94801220413957	8.19121750204167e-06	0.000211659366977821
gene_2475	-1.77041741085357	6.03265496955068	8.39802369497612e-06	0.000216723192128416
gene_1793	-1.91747861754198	7.47793713481741	8.41974059252055e-06	0.000217003623518571
gene_2923	-2.46727605295689	4.88302413422405	8.4684092053942e-06	0.000217937495679152
gene_3178	-1.69508332564742	7.43751804528938	8.477768581919e-06	0.000217937495679152
gene_880	-1.76780732122972	6.0587043525772	8.50877907003888e-06	0.000218453891400228
gene_1755	-1.83942614081338	6.31435842368317	8.54592961395763e-06	0.000219126400357888
gene_542	-1.74134545049261	7.19008720396542	8.65504220522614e-06	0.000221563526038208
gene_1305	-1.83272927357555	6.97102257213567	8.66313386809392e-06	0.000221563526038208
gene_2740	-2.08878763745037	6.90533215103153	8.77185228006867e-06	0.00022405752950367
gene_2687	-2.66372637423918	5.53612269952117	8.82099689308997e-06	0.000224971959665848
gene_7206	2.05132617346982	5.36243741792382	8.83014941688452e-06	0.000224971959665848
gene_2266	-1.93932767666749	6.21225628831968	8.86014067018093e-06	0.000225448872014782
gene_3335	-1.83441372720624	8.15190614774083	8.87827808410486e-06	0.000225556535764961
gene_1127	-1.96285024483247	11.3185555191557	8.88692750913945e-06	0.000225556535764961
gene_3107	-1.8154783687004	7.37567933437918	8.90016656111623e-06	0.000225606249964923
gene_1731	-1.80599832152005	5.75354402728326	8.91183031695308e-06	0.000225615957391217
gene_3732	2.33331146028932	4.37939556970469	8.94567643513139e-06	0.000226186509105724
gene_3015	-1.71442116446848	7.58923619123498	8.97482176524414e-06	0.000226636913263741
gene_1899	-1.83918399438373	6.81869799277232	9.10204909321883e-06	0.000229559876247638
gene_1960	-1.80347629791695	6.37448175021806	9.13512469050631e-06	0.000230103896486305
gene_1982	-1.81990106945431	6.10561745029407	9.32300505887821e-06	0.000234541007770521
gene_873	-2.44497020736865	11.5003195210405	9.39239716142961e-06	0.00023598987842788
gene_1458	-1.79524246452988	5.8466946476502	9.46937086239513e-06	0.000237625366684947
gene_638	-1.74085730106742	6.5326309959713	9.48384160789259e-06	0.00023769026586197
gene_2702	-2.09397798411902	4.83623977402692	9.58865402006173e-06	0.00024001637096525
gene_3502	-1.78895927667937	6.38018669922233	9.608699551934e-06	0.00024021748879835
gene_2752	-1.87045159476521	6.15837065033346	9.62497923059512e-06	0.00024032407567029
gene_2450	-2.20198995199261	7.79909639421775	9.69300641520842e-06	0.000241720858234624
gene_3625	2.16788736633623	4.66681517805672	9.73132368254363e-06	0.000242374188855383
gene_2245	-1.93502016946338	5.21343712769858	9.77887378343922e-06	0.000243255566752219
gene_1726	-2.06557693627073	8.11697407479713	9.8121333366359e-06	0.000243779710226979
gene_2519	-1.75164971932146	7.92566617059324	9.89367472198131e-06	0.000245500613448668
gene_112	-2.21856384689177	4.63419180090547	9.97006649179073e-06	0.000247089628049337
gene_1504	-1.81324825396183	6.51228176582448	1.00533624973888e-05	0.000248609265214651
gene_2722	-1.73468119072577	6.30461483256972	1.00562447779326e-05	0.000248609265214651
gene_2617	-1.71151365431837	6.99505487105642	1.01183383370233e-05	0.000249835514494403
gene_2844	-1.77930442043998	5.80981463862137	1.025377668362e-05	0.000252867489115167
gene_3273	-1.88814315806658	5.3566123472789	1.0294406786227e-05	0.000253556817394753
gene_3109	-2.04801987513271	5.63058556828936	1.03072931741661e-05	0.000253561947703964
gene_2839	-1.70116926698072	7.23251570466517	1.04369063348e-05	0.000256435045081082
gene_1575	-1.7420372674217	10.0048097933058	1.05142188502071e-05	0.000258017640495879
gene_2513	-1.74102159094876	6.52779737544134	1.05505636328432e-05	0.000258396952834503
gene_583	-1.76428649231628	6.13695762897248	1.05555155232894e-05	0.000258396952834503
gene_1474	-1.86013769683391	5.52654562343114	1.06412925477167e-05	0.000260178301900163
gene_2124	-1.7030447591208	7.20093381632183	1.06694137843318e-05	0.000260547345160727
gene_1507	-1.73548819549944	6.44750958098125	1.06961272343057e-05	0.000260709291493654
gene_3523	-2.14173237264391	4.64327947260127	1.07021164158145e-05	0.000260709291493654
gene_3942	2.44805096381717	4.29990105395876	1.07530307342165e-05	0.000261581868905074
gene_2371	-1.68361778021123	6.81006846659347	1.07640939054438e-05	0.000261581868905074
gene_2989	-1.80851421473816	5.79010545728109	1.09428452490604e-05	0.000265603040025738
gene_1326	-2.67097582015209	4.55692114703398	1.09580748664591e-05	0.000265650299792948
gene_3551	-2.39820421159179	5.28065948784037	1.09857770847262e-05	0.000265999445150757
gene_3430	-2.50339023704245	4.16871435417728	1.10626349064906e-05	0.000267498536719102
gene_1043	-1.86652444886905	5.36387023795293	1.10744394201708e-05	0.000267498536719102
gene_13604	-4.58285419443746	2.79065149054637	1.11647470635075e-05	0.000269354573305369
gene_737	-1.76036713123892	6.22303224995572	1.12571947060595e-05	0.000271257703760471
gene_1701	-1.69640587099753	7.91141292414826	1.13199891391388e-05	0.000272442578559298
gene_3904	1.72382242057737	8.06380248465712	1.14332459727381e-05	0.000274837643575435
gene_3652	2.47546865041927	4.41092949425968	1.14913297179055e-05	0.000275902274139388
gene_513	-1.80835011228357	8.0084700641894	1.15292430898725e-05	0.000276480649637231
gene_2570	-1.84889668713386	8.09769025465399	1.16200138708452e-05	0.000278323685529226
gene_3405	-1.84394989709379	5.57601908554177	1.16790157577662e-05	0.00027940229085565
gene_1576	-1.85429637142032	8.93295366754663	1.17215968373656e-05	0.000280085945934662
gene_909	-1.78880019326314	5.61236325622629	1.1773894795633e-05	0.000280754212384223
gene_1696	-2.35495022432408	5.74167239878013	1.17843228085508e-05	0.000280754212384223
gene_2850	-2.12234342748496	4.81942545196528	1.17916769201374e-05	0.000280754212384223
gene_2179	-1.88764209804382	6.3698058294704	1.20931529067137e-05	0.000287543341206901
gene_1603	-1.72989858160435	6.57268646690503	1.21055746648105e-05	0.000287543341206901
gene_3126	-1.7289177531183	8.54211353378429	1.21274814544067e-05	0.000287721979938476
gene_3558	-2.36410481562334	5.20088547214261	1.22913712600718e-05	0.000291264721802649
gene_1918	-2.01592168365553	8.37398462951883	1.23235457957218e-05	0.00029168155729519
gene_1415	-2.81077941850484	4.88882967898157	1.2513246424508e-05	0.000295821428475366
gene_927	-1.90575188655693	9.86477160896509	1.25576476254985e-05	0.00029639802752706
gene_10378	7.34405835419313	2.2976098920064	1.25672763671473e-05	0.00029639802752706
gene_929	-1.70192650583315	6.77590124290006	1.25823656930781e-05	0.000296404374395243
gene_2710	-2.26878739977228	5.72974189468259	1.26364427947356e-05	0.000297328065758486
gene_756	-2.4840637416563	4.89688041357665	1.27844491742698e-05	0.000300457089877081
gene_3538	-2.04158351850529	10.0367642761261	1.2933683440889e-05	0.000303607592509132
gene_1709	-1.85268698412813	5.7807086879165	1.29830546194958e-05	0.00030393029244387
gene_1834	-1.9235271131019	5.46609835719444	1.30023782002727e-05	0.00030393029244387
gene_1734	-1.75258815473765	6.33543951074063	1.30087090678769e-05	0.00030393029244387
gene_1644	-1.86090628679079	6.36089581170113	1.30220324721222e-05	0.00030393029244387
gene_3995	2.65763625469347	3.82315368146987	1.30234130312198e-05	0.00030393029244387
gene_344	-2.93407109644662	4.12126401960433	1.30521169745424e-05	0.000304245150921735
gene_3303	-3.71223887738386	3.96060027570437	1.31222821528301e-05	0.000305524613569969
gene_1962	-2.14721676766601	6.45118979897043	1.32085806449709e-05	0.00030717629406909
gene_2727	-1.81290074046075	5.77629638707806	1.32825796920702e-05	0.000308538436517309
gene_2433	-2.36676489696893	4.62836888699097	1.33566496392438e-05	0.000309899063555541
gene_1935	-2.03046774506464	6.75376015000642	1.34901020546292e-05	0.000312632724325127
gene_2196	-1.75241724754622	9.00613253985718	1.3781964992311e-05	0.000319026967414606
gene_1728	-2.07351423433287	5.20833779624937	1.37991703789957e-05	0.000319055962520132
gene_1183	-1.87462206467588	8.4262089242995	1.39100407797012e-05	0.000321248054958457
gene_415	-2.09592081826959	4.87606894426433	1.40289509767488e-05	0.000323620553096857
gene_1156	-2.22678378387217	8.8152259906705	1.41200189582921e-05	0.000325346058946822
gene_3020	-1.82789389806612	5.3807931740142	1.41635718551843e-05	0.000325974035792503
gene_697	-1.76908551051943	7.94283792485833	1.42118241009345e-05	0.000326708600021482
gene_721	-2.6159499498034	5.98381045299677	1.4248027716685e-05	0.000327164815538117
gene_2223	-1.71458189932073	8.10419271639121	1.42777594414138e-05	0.000327471546821417
gene_898	-1.65191120077003	7.7521023165535	1.43841661283236e-05	0.0003294903997774
gene_1658	-1.70421044755968	7.15550463294176	1.43987304702724e-05	0.0003294903997774
gene_205	-1.66480052063041	6.8837329389876	1.44807243328184e-05	0.000330687788555315
gene_3042	-1.79237710845703	5.65283698879517	1.44841251387228e-05	0.000330687788555315
gene_3019	-2.02607024476659	4.99827587120216	1.45669449062067e-05	0.000332199427735616
gene_485	-1.89774001909288	8.81999277788058	1.45849015112266e-05	0.000332230102761425
gene_1978	-1.72287545849006	7.85180152599105	1.49500779640066e-05	0.00033980425407341
gene_1163	-2.36209055432488	4.48762717550946	1.49513871792301e-05	0.00033980425407341
gene_1916	-1.69402598383969	7.16334351326371	1.50252393941378e-05	0.000341095105428782
gene_3981	2.0248534866681	4.87804916481791	1.50879872204945e-05	0.000341825579745182
gene_2714	-1.97466811904513	6.37077468548888	1.50915993457498e-05	0.000341825579745182
gene_1317	-1.76443300056574	7.72677001920054	1.51427121041336e-05	0.00034259529647361
gene_349	-1.81603555502851	6.07464296611757	1.51700751267638e-05	0.000342826556537035
gene_3697	2.38363803928727	7.97308159982737	1.52112422870651e-05	0.000343368900385216
gene_808	-2.16461758770805	4.72801847440444	1.5258286774763e-05	0.000344042542835694
gene_3783	2.05098908634789	6.05387030609515	1.53432690448e-05	0.00034556912263063
gene_3472	-1.66819262965682	7.95509636929862	1.53871207297065e-05	0.000345834880445817
gene_3706	1.72362289461339	6.53506875855277	1.53896521798389e-05	0.000345834880445817
gene_3510	-2.33270634744606	4.65217329511364	1.54401287219067e-05	0.000346579769290835
gene_868	-1.77447313827059	5.74684460416798	1.55112281805416e-05	0.000347785385213937
gene_3349	-1.81556977058084	7.71751893255323	1.5559641052391e-05	0.000348480202741119
gene_2871	-1.88520274079551	7.34767221695103	1.56763220528622e-05	0.000350700717066269
gene_1236	-2.1909543236699	7.05108233155793	1.57931858683552e-05	0.000352920354600116
gene_3511	-2.11032403405826	4.70672154677577	1.58743197423415e-05	0.000354242953156782
gene_1530	-1.63909449720559	8.1749847560258	1.58877964490817e-05	0.000354242953156782
gene_3385	-3.9599590103471	4.52124191971383	1.59453228035635e-05	0.000355129683821014
gene_551	-1.70953733324682	7.21196496391222	1.60369474501944e-05	0.000356773024475959
gene_3367	-2.24066538790249	5.21835130900442	1.60592160679809e-05	0.000356871468177353
gene_2953	-1.61031025140901	10.9547900221023	1.60795152039959e-05	0.000356925975671385
gene_642	-1.77959451683869	6.4063302537082	1.61107822042329e-05	0.000357081173696469
gene_2119	-2.64257560398936	7.42044137903156	1.61222149923956e-05	0.000357081173696469
gene_13404	2.21464080080304	4.68358207663831	1.6204136375198e-05	0.000358498592371636
gene_3293	-1.89917432772175	8.19238722703621	1.62539883586508e-05	0.000359030182148206
gene_1487	-1.82867776664787	8.36601565409279	1.62640672513137e-05	0.000359030182148206
gene_1702	-2.07384805419275	5.03589647859317	1.63176906604859e-05	0.00035981677310884
gene_1167	-7.17486206494949	2.18937436024848	1.64422994549299e-05	0.000362165186231936
gene_1680	-1.76721733600206	10.9662445525215	1.64714479338256e-05	0.000362408095353698
gene_2407	-1.76940092668524	5.61661794232278	1.66067781091149e-05	0.000364984134266261
gene_436	-2.73907899299823	4.00961336012367	1.66566993547671e-05	0.000365345944820881
gene_677	-2.70844734169285	4.41381754745244	1.66597750838322e-05	0.000365345944820881
gene_2227	-2.07991059066904	5.02390504302784	1.67248658454201e-05	0.000366371650502083
gene_1191	-1.89950828852994	5.23952437760922	1.67842544629445e-05	0.000367270338357648
gene_1566	-1.88186245138928	5.71227654046814	1.69422642438783e-05	0.000370322715713187
gene_1362	-2.00880490090841	5.06577544001338	1.70502583679109e-05	0.000371884596355637
gene_2900	-1.83460059612223	6.0605163553653	1.7050908742906e-05	0.000371884596355637
gene_3125	-1.81933317784486	5.4632065617942	1.71008161549205e-05	0.000372566800760796
gene_809	-1.96550629101469	6.16992604781164	1.7266024481088e-05	0.00037575678957754
gene_2785	-2.05437511427247	5.05352478020693	1.72860541447036e-05	0.000375783785754427
gene_1085	-1.79994250659436	6.79686232216755	1.75143797546567e-05	0.000380333979471372
gene_1004	-1.90868143262515	6.95583152228326	1.7552734970987e-05	0.000380753470086486
gene_3307	-1.94719043055609	5.46154573842101	1.75974229425237e-05	0.000381309272860751
gene_2892	-2.98284307784269	4.05423857125719	1.76504041979813e-05	0.000381733528773344
gene_234	-1.78937278931311	7.23645128672737	1.76551757057672e-05	0.000381733528773344
gene_392	-1.74837164193858	5.66518925027811	1.77236538265962e-05	0.000382572167485838
gene_2028	-2.38932524186305	7.77165041027226	1.77322199629686e-05	0.000382572167485838
gene_1346	-1.79749321815317	5.44648297930132	1.78111206333006e-05	0.000383860358476307
gene_955	-1.9726172716658	5.25630873336127	1.78519710725303e-05	0.000384326610818736
gene_2087	-1.70141566338662	7.30223755326847	1.7928909627821e-05	0.000385567948985397
gene_1546	-4.14154498400775	5.93198829746728	1.81846888951575e-05	0.000390234755440201
gene_2523	-2.15100855387367	8.22689190223355	1.81972947111272e-05	0.000390234755440201
gene_3491	-1.80577323033985	5.99462418861543	1.82044513412854e-05	0.000390234755440201
gene_2837	-2.48097986696023	4.22640085644871	1.82956170618101e-05	0.000391769101965956
gene_264	-1.72036935230688	9.15206757728935	1.83408532996041e-05	0.000392317717638591
gene_3036	-1.71934261400003	6.61153392144105	1.84754464744154e-05	0.000394774497316568
gene_2451	-2.0317256897273	4.934537493531	1.85644611320393e-05	0.000396253172508843
gene_87	-1.78342814176972	5.43577858279394	1.8603551838381e-05	0.000396664218302367
gene_3990	2.92672199813885	5.07731008487204	1.86481587330659e-05	0.000397191879298528
gene_1733	-2.2014614099989	4.71330566735417	1.87665581133892e-05	0.000399288470497642
gene_2001	-2.15090296073284	4.67308172323485	1.88170813821313e-05	0.000399937967739241
gene_3684	1.9313930132742	5.50471783085679	1.8850182640887e-05	0.000400216191950892
gene_590	-3.16978535846568	5.25587409069772	1.89298981840457e-05	0.000401482464136707
gene_2979	-1.99844670865104	5.20714452359213	1.90182107890975e-05	0.000402806045789326
gene_2550	-2.08096545838461	6.31075658350563	1.90325856635456e-05	0.000402806045789326
gene_372	-2.20115019966051	5.15370022785565	1.90584523452483e-05	0.000402927110893199
gene_62	-2.02014238498344	5.39808028974572	1.91093760670075e-05	0.000403577108067739
gene_1171	-1.87408420996777	5.30920143859206	1.9156548521191e-05	0.000404146593274072
gene_3912	1.89319958977367	8.54207883523464	1.92296585970834e-05	0.000404845281747971
gene_2857	-2.09514444945593	8.25031846287429	1.92340861429521e-05	0.000404845281747971
gene_549	-1.80455118265997	8.01295421184496	1.9250393147116e-05	0.000404845281747971
gene_2577	-1.83982486294981	5.75306226219388	1.93825310882121e-05	0.000406645704777021
gene_160	-2.18720575232379	5.89691698159281	1.93871100075051e-05	0.000406645704777021
gene_29	-1.65459285452574	6.99352904578893	1.93970001178639e-05	0.000406645704777021
gene_1220	-1.6632742054804	7.2957887982674	1.94761595381644e-05	0.000407877686663128
gene_176	-1.80871596269165	6.011645711722	1.95561320052732e-05	0.000409124100528727
gene_2290	-2.23351560157126	8.0963444819584	1.96359606465194e-05	0.000410364903793509
gene_703	-1.85992203459255	6.78731945093552	1.96615540561308e-05	0.000410470857121728
gene_668	-2.72186133824604	3.94442572331073	1.97735463667152e-05	0.000412378443518565
gene_2524	-1.79257623052964	7.54266414292171	1.98022049341813e-05	0.000412545936128777
gene_2610	-2.28255741151159	4.68547463687492	1.98552696230287e-05	0.000412925929990109
gene_218	-1.93221021387912	9.28991321725122	1.98617372325243e-05	0.000412925929990109
gene_3985	2.840909438094	3.5882062705023	1.99154072614409e-05	0.000413611781130652
gene_2639	-2.42055946060672	6.04875374622755	1.99788274075347e-05	0.000414498493932255
gene_2531	-1.73638045345727	7.40605454790585	2.0201394234366e-05	0.000418681745789968
gene_1315	-2.67289189777314	6.54477162891195	2.02653090617427e-05	0.000419571616185149
gene_1151	-1.67813808329973	10.0278218908777	2.03057423398226e-05	0.000419973988414119
gene_2907	-2.03335806350208	5.59695212342024	2.03382728436925e-05	0.000420212248836622
gene_3163	-1.68341006005977	7.31381206106384	2.04779682644307e-05	0.00042266188368278
gene_346	-2.10445253742244	5.09296447593102	2.05369585543904e-05	0.00042344244442042
gene_2391	-2.00642712308415	5.14071262488246	2.07724515887897e-05	0.000427856881334493
gene_879	-1.81872193274021	7.4987277428708	2.0817629981683e-05	0.000428346295919403
gene_1514	-2.06998716102725	5.14496541500946	2.10804574182159e-05	0.000433308477250071
gene_1858	-1.94420759364017	6.34069602423675	2.13489099542223e-05	0.000438375974419349
gene_1368	-2.26116975491448	4.9300872857672	2.16176549845001e-05	0.000443439076605129
gene_775	-1.64432825557973	8.77725282568286	2.16803447608076e-05	0.000443945915015664
gene_278	-2.52503454710346	4.14693060890614	2.16867579485152e-05	0.000443945915015664
gene_320	-1.79922504596594	6.15709794701051	2.17647277353207e-05	0.000445086456755025
gene_1835	-2.27069358639241	4.41422483138928	2.18740412065261e-05	0.000446864988897367
gene_1441	-1.9436067465239	11.2381214435323	2.2092280420663e-05	0.000450862865727817
gene_3120	-1.65756510348276	7.34614157595742	2.21325056537666e-05	0.000451090080096786
gene_2100	-1.71312308631215	6.43564719320438	2.21485229327522e-05	0.000451090080096786
gene_2417	-1.83525386559827	6.34699167980404	2.21776776369522e-05	0.000451224366977663
gene_2709	-1.76560260831786	6.00752357111649	2.24467149880992e-05	0.000456234044473561
gene_107	-1.76932792892175	6.98540212503361	2.24882433030366e-05	0.000456523526671578
gene_2866	-1.69888743253019	6.41971330192649	2.25066098649088e-05	0.000456523526671578
gene_1900	-1.7703795747214	6.88401125378993	2.27896587432724e-05	0.000461796529752228
gene_1298	-1.70504153187996	8.15305126285072	2.28176829335908e-05	0.000461896415659732
gene_3	-1.87539091961685	5.63031712551831	2.29857104221219e-05	0.000464827308839675
gene_2758	-1.73639837291929	6.03478936095631	2.31907143263394e-05	0.000468499279319988
gene_700	-1.68131275304231	6.13187002031029	2.34437549209843e-05	0.000473133298102609
gene_1616	-1.65469076917	7.1912992845994	2.34943251005931e-05	0.00047367590928615
gene_1269	-3.24357182084802	5.80679380144181	2.36933472410772e-05	0.000477207396597729
gene_435	-1.73794008734919	5.53493225791269	2.39219064349602e-05	0.000481326085210467
gene_1947	-1.70603426875732	6.75846055875568	2.39483245234895e-05	0.000481373357256071
gene_14272	2.05211529630878	8.09122123392009	2.40302999280735e-05	0.000482382988955137
gene_1285	-1.87480195020323	7.25538460219566	2.40467919994136e-05	0.000482382988955137
gene_2432	-1.75368744970652	7.19006766839124	2.42266672071361e-05	0.00048550435284842
gene_3839	2.75915839750673	5.89983349632613	2.4696033368008e-05	0.000494031929030324
gene_1354	-1.63585106856548	6.64640899114409	2.47219156373137e-05	0.000494031929030324
gene_1640	-1.76548889896825	7.10501468364084	2.47262980479677e-05	0.000494031929030324
gene_3141	-1.91634445167794	5.23933543882841	2.47611127354553e-05	0.000494233787134835
gene_3346	-1.95190773627038	6.80567566196307	2.49184414276266e-05	0.000496693474303856
gene_1113	-2.2876629754126	4.42785170945905	2.49340124100536e-05	0.000496693474303856
gene_2853	-1.66947791118235	6.90208946081487	2.50744881989526e-05	0.000498994790028908
gene_766	-1.892278505409	5.70158449050929	2.53832625393336e-05	0.000504637426229296
gene_3715	2.95205359236109	6.07999143529006	2.5475193304007e-05	0.000505962131162006
gene_3964	1.8145231146011	6.05870072777744	2.57366190316105e-05	0.000510647203008144
gene_3682	2.28344281085672	10.4896178586514	2.60753791429942e-05	0.000516385114634995
gene_2529	-1.79603869412282	5.61783827405234	2.60774482890673e-05	0.000516385114634995
gene_10505	5.45144262050604	2.25243713830463	2.62238019641237e-05	0.000518769573968818
gene_85	-1.79700737448669	5.55001387862656	2.63153717058874e-05	0.000520066634503704
gene_3443	-2.08912934335317	11.237755369132	2.67018360712936e-05	0.000527183338031462
gene_156	-1.90777059093322	6.77982195966017	2.68996003810319e-05	0.000530564110079524
gene_3022	-2.08118867706001	7.96559223258048	2.69800108847116e-05	0.000531625830240622
gene_3756	2.21624350176364	4.80230162036756	2.71372536975372e-05	0.000534197907431834
gene_2454	-1.74832913912047	7.0300693815198	2.72445352914779e-05	0.000535782404945485
gene_194	-2.07820383432493	7.13787792462127	2.75215849229643e-05	0.000540667528255602
gene_2828	-2.11984804964942	4.69267567773205	2.75470105646229e-05	0.000540667528255602
gene_2220	-7.68024383648875	2.61460038338818	2.79893720436217e-05	0.000548811216541602
gene_1597	-1.74865882854966	7.81370325177028	2.80871994627091e-05	0.000550189999269523
gene_1146	-1.79246555589124	5.91624087565977	2.81996626666729e-05	0.000551852498369333
gene_597	-2.08358458990492	7.29028176565473	2.82714536484209e-05	0.000552492366473642
gene_3084	-1.75601750504219	5.68003213725616	2.8311494881456e-05	0.000552492366473642
gene_2684	-1.78282943367315	7.11499437385422	2.83152337817742e-05	0.000552492366473642
gene_1880	-2.98267740969988	3.51383111826003	2.85900118136175e-05	0.00055731017180541
gene_1830	-1.84340397242868	5.23532748402236	2.86936811208452e-05	0.000558786389889878
gene_1076	-2.55367171535887	4.93118479921896	2.89248935500273e-05	0.000562741119650336
gene_3129	-1.87841468044708	5.16970593442079	2.8993841898619e-05	0.000563534342052846
gene_422	-1.75341840784328	7.80297573322004	2.90573766887506e-05	0.000564220906577681
gene_2365	-2.3250640805195	5.91832840330767	2.91600846039575e-05	0.000565666044693647
gene_3575	-1.96463394151402	5.26358773301414	2.92362421754518e-05	0.000566593840609532
gene_2033	-1.58863437067746	7.21438923397112	2.93495814290854e-05	0.000568239717891296
gene_313	-1.71507569283032	5.62184722603992	2.95378630189038e-05	0.000571331973286341
gene_66	-1.87249010507719	12.8457037481105	2.96750129410043e-05	0.000573430201758537
gene_2192	-1.67182742285159	6.55689773421139	2.97088758416573e-05	0.000573530421653616
gene_1425	-1.63007602844595	6.83139780035534	2.99077679928951e-05	0.000576665169212604
gene_2751	-1.89331653398939	5.23470436882252	2.99289222821341e-05	0.000576665169212604
gene_2745	-1.8426284030099	5.60499465279915	2.99589239338015e-05	0.000576687659938432
gene_3501	-1.7304815468219	6.17536317900279	3.00274772679054e-05	0.000577451485921258
gene_659	-1.68439336059583	6.11515945953485	3.03855711125906e-05	0.000583776582374459
gene_371	-2.01335491604879	5.5700797995662	3.05166374272543e-05	0.000585732004361887
gene_1636	-1.90947375547632	6.44545164395096	3.05517289708435e-05	0.000585843316794698
gene_3897	2.52395661997997	4.78525526183438	3.08656421078078e-05	0.000591295825820074
gene_2075	-1.64206428336355	6.37158226155037	3.10460083949521e-05	0.000594181978850759
gene_3849	1.66925979958612	8.522168781311	3.12210918662251e-05	0.00059696160356071
gene_1622	-1.68745752399132	6.00466588133978	3.12564689001453e-05	0.000597067218722928
gene_86	-2.40133910513103	4.39943274152818	3.1517613641607e-05	0.000601481176366545
gene_2967	-1.87010011198673	4.97411726285395	3.15821894240394e-05	0.000602138978532686
gene_1877	-2.10481564417485	5.10943931819533	3.16182746364294e-05	0.000602252850217702
gene_3649	2.48111516941915	4.32605821969393	3.16955986313495e-05	0.000603151258446231
gene_3586	-2.04396535812406	5.214184861006	3.18085447652821e-05	0.000604725185651752
gene_488	-2.01845756381273	5.55171106966787	3.20231718066501e-05	0.000608227384741693
gene_3560	-1.77457959777948	6.12501209900937	3.22240928735541e-05	0.00061146286287579
gene_14856	7.9001143402473	2.78092721851247	3.23163748563689e-05	0.000612632698698936
gene_882	-1.99388057578108	5.21784659314018	3.25293519223283e-05	0.000616086210650156
gene_558	-1.7077030620279	11.6058528864055	3.26100437756502e-05	0.000616362485087191
gene_822	-1.88293035832575	8.90378862061185	3.26328541243615e-05	0.000616362485087191
gene_1242	-2.22019806934337	4.37406887520336	3.26363935853667e-05	0.000616362485087191
gene_1695	-2.21492558018087	5.68605059621369	3.26706084803798e-05	0.000616426575101505
gene_524	-1.70629086654854	6.48648401946593	3.30161050944719e-05	0.000622358248717661
gene_1277	-1.79970262672238	5.8743022540479	3.3306779566016e-05	0.000627246319510659
gene_2469	-1.68497354544444	5.82676767999742	3.33424591523463e-05	0.0006273275475512
gene_3362	-1.5952672393104	6.91790805035856	3.36549788649563e-05	0.000632612384679629
gene_1595	-1.83805440423016	6.1737715036977	3.37597075836542e-05	0.000633985118941863
gene_2920	-1.81223492545913	5.85156982424049	3.41558363536433e-05	0.000640109830548223
gene_2199	-2.31007634071487	6.264662173342	3.419535722189e-05	0.000640109830548223
gene_1282	-1.65844859925716	9.86813010974536	3.42090112750746e-05	0.000640109830548223
gene_212	-2.41076810346538	3.97238773571467	3.42305468154917e-05	0.000640109830548223
gene_426	-2.17713901613613	4.52781972648628	3.42458759343299e-05	0.000640109830548223
gene_2783	-2.13950713987459	5.7672799769932	3.43171896776848e-05	0.000640843878201398
gene_841	-1.69378506516622	5.83339408807732	3.43822398201627e-05	0.000641459698137364
gene_2318	-1.66199804719675	6.27811250077063	3.44760284767806e-05	0.000642610036845865
gene_142	-5.53077137418895	2.45326815128517	3.49125307490198e-05	0.000650140237411915
gene_3209	-2.1554572525329	6.88384612200906	3.50448467874629e-05	0.000651997149534193
gene_562	-1.68207895690526	5.85549807960416	3.51433237025114e-05	0.000653221630158204
gene_8448	3.83189856326146	3.16945789480937	3.52886338625421e-05	0.000655313535051849
gene_2779	-1.96159176544882	5.57331234881554	3.55721919828744e-05	0.000659966456083013
gene_2352	-2.20734300930232	4.55174887022882	3.56346648407003e-05	0.000660512786667291
gene_343	-3.0280985819217	4.1479069232922	3.57115209653199e-05	0.000661324462320738
gene_2076	-2.00452525120194	4.60254844337497	3.64469514260527e-05	0.000673785417130878
gene_281	-3.73386154991888	4.07193753991605	3.64559310224094e-05	0.000673785417130878
gene_3628	2.0148316782858	5.8724944092791	3.64854803376371e-05	0.000673785417130878
gene_2046	-1.92703995291891	5.57843726563853	3.67378742381429e-05	0.000677820557899316
gene_602	-1.76077861610957	6.49269554813488	3.69164529974947e-05	0.000680487612857045
gene_1510	-1.82086903325871	5.86643207193932	3.69562150049997e-05	0.00068059327817679
gene_3564	-1.70365635306205	5.76071435421501	3.71655244602368e-05	0.000683818297336463
gene_749	-2.31017055360119	4.16101535908135	3.74183887166572e-05	0.000687838027879729
gene_1047	-1.96996609954845	5.46774689883823	3.76413954844487e-05	0.00069130202909915
