logFC	logCPM	PValue	FDR
gene_166	-2.2126365881127	10.6605135180727	7.65799606115417e-09	2.47032131004973e-06
gene_3238	-2.22462799512094	7.85683719832244	7.80133567311541e-09	2.47661449940172e-06
gene_2968	-2.44027596997613	6.29731727786213	7.92725763186352e-09	2.47726800995735e-06
gene_3611	3.06193620660056	7.34372613635794	9.68799141453918e-09	2.96156763318065e-06
gene_765	-2.41373018062285	6.6703992766801	9.77317318949615e-09	2.96156763318065e-06
gene_3901	2.23600633943819	6.87411398530237	1.25325589070915e-08	3.74106236032581e-06
gene_3850	2.22888535253912	7.27056496454628	1.33368131031665e-08	3.92259208916663e-06
gene_2472	-8.99369125970343	3.80383156436682	1.68135452891824e-08	4.86096387413278e-06
gene_3794	2.16540571815529	9.9323153694907	1.72528964804745e-08	4.86096387413278e-06
gene_2754	-2.52205605919649	5.64629823501206	1.73788359506404e-08	4.86096387413278e-06
gene_1498	-5.88662571445901	3.47770678761965	1.78242072854317e-08	4.86096387413278e-06
gene_245	-2.2482295668463	7.7942393965217	1.7906779667524e-08	4.86096387413278e-06
gene_1502	-4.96546163921724	4.35366741858598	1.83432446440904e-08	4.86096387413278e-06
gene_1751	-2.24394770142567	7.03155328159745	1.84221522939909e-08	4.86096387413278e-06
gene_3752	3.36189673371751	4.32078134823894	1.84958051651693e-08	4.86096387413278e-06
gene_2222	-2.29512030231961	7.26731212629481	1.87147109154112e-08	4.86096387413278e-06
gene_3739	2.40797515192073	5.82775345501265	1.90234176172867e-08	4.87779938904787e-06
gene_2495	-2.49023154752148	5.54716871743457	1.96753562217282e-08	4.98110284094386e-06
gene_3906	2.1331584011786	10.9783786272298	1.99534899533091e-08	4.98837248832728e-06
gene_467	-2.32317311890955	6.12076661390972	2.02994562275589e-08	5.01221141421207e-06
gene_1655	-2.61670674825276	6.16235277454384	2.15378369613796e-08	5.25313096619015e-06
gene_3969	2.47057440768422	5.83768032952328	2.2395446299097e-08	5.39649308411977e-06
gene_2198	-2.1863905306241	7.31976472214089	2.28595958846741e-08	5.4427609249224e-06
gene_5	-2.91624961950354	5.49903413815178	2.34266101585239e-08	5.5121435667115e-06
gene_1212	-2.26794674962583	10.7662952346362	2.37642335706113e-08	5.52656594665379e-06
gene_17159	4.26152515516671	3.83645736152007	2.4612549836571e-08	5.65805743369448e-06
gene_3616	2.09847304859868	8.58567659840006	2.63930455771191e-08	5.99841944934525e-06
gene_3159	-2.23263542289563	7.48330075703912	2.76201168430638e-08	6.20676782990197e-06
gene_3605	2.19815190095111	9.3524562460171	2.9591430544854e-08	6.57587345441199e-06
gene_3233	-2.29671533001338	6.16969851356486	3.01851017841705e-08	6.62342230198559e-06
gene_3962	2.14404632498388	8.2950827250893	3.04677425891337e-08	6.62342230198559e-06
gene_3596	-2.30225606737855	9.46544691468845	3.08847159769091e-08	6.64187440363636e-06
gene_3758	2.54499978929212	9.93754571678599	3.15404742220908e-08	6.6596223240244e-06
gene_3435	-2.4743262657136	5.91103798212439	3.16332060391159e-08	6.6596223240244e-06
gene_463	-2.09004940494264	10.2982144835253	3.44416450471321e-08	7.14719726241883e-06
gene_1651	-2.32391981410699	6.42289044358929	3.46639067227313e-08	7.14719726241883e-06
gene_3778	2.47346334755729	6.36357479178215	3.63315245019795e-08	7.37220574939415e-06
gene_3492	-2.58036365883919	6.34494545856474	3.6492418459501e-08	7.37220574939415e-06
gene_246	-2.16542537018815	7.08237432966659	3.75489690138925e-08	7.4307109292128e-06
gene_2921	-2.32613569296459	6.35686147756546	3.78905005927686e-08	7.4307109292128e-06
gene_2443	-6.67633198099131	3.46040530502696	3.78966257389853e-08	7.4307109292128e-06
gene_1318	-2.20550981642337	9.3047989111177	3.99002365942824e-08	7.74761875617134e-06
gene_3630	2.09483547595536	8.17572697913053	4.13008993602089e-08	7.94248064619402e-06
gene_3761	3.36483946860927	5.8948300297415	4.17293678262667e-08	7.948451014527e-06
gene_827	-2.60031141868026	6.19973557151254	4.33264208293357e-08	8.17479638289353e-06
gene_1922	-2.08621330047553	8.6060840328645	4.42610884720197e-08	8.27310064897565e-06
gene_555	-2.97991662288656	7.52461196393278	4.50716897978742e-08	8.2988046294675e-06
gene_2597	-2.1467365794056	7.55938215171755	4.55956354355152e-08	8.2988046294675e-06
gene_3088	-2.32497224523828	7.15255446919338	4.601274779055e-08	8.2988046294675e-06
gene_1941	-2.1642491227169	7.10670117498404	4.60583656935446e-08	8.2988046294675e-06
gene_777	-2.21038404705002	8.50738618837694	4.74701189596847e-08	8.47547868137507e-06
gene_3868	2.2977411915616	9.82900091342111	4.78864545497691e-08	8.47547868137507e-06
gene_3267	-2.11554524545443	10.3118562426757	4.88022582498127e-08	8.50210620555895e-06
gene_3396	-2.28553657150156	8.96828987244917	4.8887110681964e-08	8.50210620555895e-06
gene_2306	-2.24452018897981	6.808368532036	4.99515753238404e-08	8.58050881091361e-06
gene_1369	-2.57217825985075	5.52366085661308	5.05652817017213e-08	8.58050881091361e-06
gene_3777	2.16165350816144	7.29238578398614	5.06250019843903e-08	8.58050881091361e-06
gene_3271	-2.18961167789143	7.98854940601216	5.14151057190066e-08	8.64119423848851e-06
gene_3663	2.3717300084134	10.8988706783149	5.41230012491919e-08	9.0073113734255e-06
gene_2431	-2.42354546305244	7.37028260816924	5.47281430180236e-08	9.0073113734255e-06
gene_2239	-2.17914427765496	9.91580865673892	5.53500594015194e-08	9.0073113734255e-06
gene_3806	2.29599642444252	5.87414940372463	5.53949649465669e-08	9.0073113734255e-06
gene_3191	-2.52203814557156	6.29568361966118	5.7142099365809e-08	9.21646763964662e-06
gene_2109	-2.21216032638268	7.68931275131398	5.83350409047973e-08	9.33360654476757e-06
gene_230	-2.46632296078695	5.37052350343071	5.92022604979309e-08	9.39718420602078e-06
gene_1881	-2.98790325421334	4.61274721469284	6.10924243538616e-08	9.44070407294532e-06
gene_2445	-2.19751216207118	8.1372288476443	6.13404074871045e-08	9.44070407294532e-06
gene_2389	-2.12609035049692	7.37290763090176	6.15054249772007e-08	9.44070407294532e-06
gene_3657	2.16869416544769	6.37587649031078	6.19371064420616e-08	9.44070407294532e-06
gene_3500	-2.74020831671216	5.99199875321891	6.28793603223515e-08	9.44070407294532e-06
gene_3655	2.78014788415211	5.02280955794257	6.31809738874483e-08	9.44070407294532e-06
gene_3841	3.47243510531045	4.0604149618942	6.35100657493391e-08	9.44070407294532e-06
gene_3816	2.44304986255001	7.43393576306235	6.35623363156687e-08	9.44070407294532e-06
gene_3691	2.2112798152692	7.51681362420807	6.37247524923809e-08	9.44070407294532e-06
gene_746	-2.03788457750421	9.24229789529056	6.69463540151524e-08	9.81421213503543e-06
gene_3922	2.28483673540234	5.56192560229527	6.76299701865035e-08	9.81421213503543e-06
gene_828	-3.42733144052137	5.59129311453686	6.77180637317445e-08	9.81421213503543e-06
gene_3672	2.67996701459604	5.29568626803693	6.87100939665217e-08	9.82331152891145e-06
gene_3822	2.20172898986379	9.46154042238322	6.87631807023802e-08	9.82331152891145e-06
gene_1885	-2.48719257625617	5.51454855124108	7.1973396452926e-08	1.01405111664468e-05
gene_3940	2.08459962212975	7.046066285249	7.19976292817722e-08	1.01405111664468e-05
gene_3305	-2.82128147866548	4.74801306847335	7.32367916573883e-08	1.01983744149412e-05
gene_1823	-2.05032024170662	8.95441935018924	7.34282957875767e-08	1.01983744149412e-05
gene_1790	-2.03370511119908	8.37048083984489	7.54501919570949e-08	1.03881749858269e-05
gene_1279	-2.65994478410153	5.29931810638623	7.61382507498469e-08	1.03881749858269e-05
gene_3083	-3.14817303152477	4.63116765956146	7.63530861458277e-08	1.03881749858269e-05
gene_3751	2.20982627674647	6.37772631617288	7.94026568799578e-08	1.07300887675619e-05
gene_2596	-2.23190957429384	5.73388283957519	8.19311892246676e-08	1.09974750637138e-05
gene_2976	-2.07566398851177	7.83012399943376	8.36272531921754e-08	1.10842062413127e-05
gene_990	-2.11192753262496	6.98713374259211	8.41266292485247e-08	1.10842062413127e-05
gene_1724	-2.1808691971758	6.52985367230696	8.42399674339764e-08	1.10842062413127e-05
gene_669	-2.1427075250487	8.86320723579426	8.77397434398011e-08	1.14588251005165e-05
gene_1989	-2.19933193668424	10.624835893121	8.82329532739771e-08	1.14588251005165e-05
gene_3539	-2.14952633917423	6.38650906961729	8.93896943213502e-08	1.15341541059807e-05
gene_3914	3.16254716517274	7.35033054719075	9.24421512212381e-08	1.18515578488767e-05
gene_744	-2.28348343290362	6.20141579168228	9.32564801216832e-08	1.18798063849278e-05
gene_1864	-2.18480016068787	7.55675132035074	9.71635251419088e-08	1.229918039771e-05
gene_3846	2.94867521416298	4.55530027912777	9.83839086724324e-08	1.23753344242053e-05
gene_1491	-2.35541489541928	6.67941453929082	1.01715585639845e-07	1.27144482049807e-05
gene_1235	-2.11933336831639	7.37421365437681	1.0365860442493e-07	1.28579413095548e-05
gene_1088	-4.79791318676217	3.59237380890614	1.04149324607394e-07	1.28579413095548e-05
gene_2085	-4.36985687635212	3.96258879378611	1.0818446338806e-07	1.32741672868785e-05
gene_1988	-3.73423839542499	4.97299480266552	1.09985586362895e-07	1.34128763857189e-05
gene_1164	-2.24887195408134	6.2384830306091	1.13040775871132e-07	1.35920994190557e-05
gene_3851	4.86136865748802	3.71743587576322	1.13333396486787e-07	1.35920994190557e-05
gene_1243	-2.06621478016081	7.1321815164103	1.14006298108097e-07	1.35920994190557e-05
gene_1225	-2.40604602495689	6.90936984060932	1.14173635120068e-07	1.35920994190557e-05
gene_1993	-2.05200212438958	7.79901316936581	1.15337490584256e-07	1.36494071697344e-05
gene_1698	-2.62598614113123	5.45349097853745	1.17777814962564e-07	1.38063679265584e-05
gene_1207	-2.16696741372252	5.75793415773173	1.19132870386532e-07	1.38063679265584e-05
gene_3876	2.17896154222849	5.67113710932041	1.19740914660646e-07	1.38063679265584e-05
gene_1614	-2.46195202658086	6.22691194980857	1.20048649214757e-07	1.38063679265584e-05
gene_3703	5.48827066500792	4.06363618536017	1.20485323532955e-07	1.38063679265584e-05
gene_2937	-2.60455714536486	5.61301090832934	1.20816314093168e-07	1.38063679265584e-05
gene_3937	2.12873917025391	7.10019606927351	1.21496037753714e-07	1.38063679265584e-05
gene_3096	-2.08913059900685	6.68218645570515	1.29218354877277e-07	1.45445343268774e-05
gene_977	-2.21671994503955	6.48147797504029	1.29446355509209e-07	1.45445343268774e-05
gene_798	-2.04798628545696	6.90458507700157	1.3147061767046e-07	1.46663547928692e-05
gene_2129	-2.11830172312455	9.84435549979854	1.32639921687785e-07	1.46663547928692e-05
gene_55	-2.19078422902317	6.28414176807167	1.32730510875466e-07	1.46663547928692e-05
gene_1361	-2.29852277601407	5.62143018300889	1.36806975986944e-07	1.50337336249389e-05
gene_1390	-2.0157175978282	8.32671168442594	1.40947461970755e-07	1.54040942044541e-05
gene_3943	2.11029344705006	8.32613707172204	1.43745674803077e-07	1.55360259266899e-05
gene_2680	-2.4217669037785	6.4668347805521	1.44080023828781e-07	1.55360259266899e-05
gene_1776	-2.46444771202835	7.81029760299818	1.44485041118216e-07	1.55360259266899e-05
gene_1938	-2.59334611607194	5.31913984668662	1.45598757599286e-07	1.55720596362873e-05
gene_2447	-2.80854995479562	4.76849034397304	1.47115966876739e-07	1.5642152930526e-05
gene_804	-2.61316502426624	5.57418201906279	1.47818345193471e-07	1.5642152930526e-05
gene_889	-2.18880241623934	6.25217921633863	1.50035403589375e-07	1.57834893794203e-05
gene_1158	-2.16345056039331	5.6672417006744	1.50732323573464e-07	1.57834893794203e-05
gene_3548	-2.20793862457218	8.14982446203972	1.52433841414612e-07	1.58785251473555e-05
gene_3771	2.03374632838938	7.84802340157531	1.54112403234016e-07	1.5920570681516e-05
gene_3441	-2.23298304585555	6.65188147565857	1.54864554377128e-07	1.5920570681516e-05
gene_1802	-3.7448595373287	5.87948024556441	1.55225564144781e-07	1.5920570681516e-05
gene_1908	-2.5922095605729	5.05498622874846	1.5793478438956e-07	1.61078542065368e-05
gene_1771	-2.05671110842042	7.08917830452483	1.58662363934388e-07	1.61078542065368e-05
gene_2667	-2.27006765435204	9.01107008228288	1.62572763734114e-07	1.63525371901675e-05
gene_3863	2.1051918754061	6.60914643109509	1.63333580218049e-07	1.63525371901675e-05
gene_3668	2.34039150181195	7.8119576180591	1.64040900771556e-07	1.63525371901675e-05
gene_2328	-2.06166858371554	8.93608975853407	1.64342998761184e-07	1.63525371901675e-05
gene_3298	-2.01164187373196	10.4234957528674	1.65944773965846e-07	1.64301756401828e-05
gene_1838	-2.02671470358416	11.6017286478868	1.69964169038919e-07	1.67452383289575e-05
gene_153	-2.04446440443769	6.87906743134544	1.71423114482081e-07	1.68061876943217e-05
gene_3895	2.75736850669234	5.4295381818469	1.73225510894238e-07	1.69000498433403e-05
gene_1345	-2.11386356859261	6.6304385197599	1.76029806606321e-07	1.70902724860505e-05
gene_2366	-2.13297441812672	6.69042206205377	1.83911684166141e-07	1.77692448469702e-05
gene_3489	-3.25914473113667	5.69775520754007	1.87385994614507e-07	1.79827451603155e-05
gene_3320	-2.03738007347278	7.69977100948298	1.87919686925297e-07	1.79827451603155e-05
gene_2310	-2.00416376092587	9.4739733084949	1.90261455216501e-07	1.79832111228243e-05
gene_2053	-2.11853297694393	6.40851649359307	1.90274447426936e-07	1.79832111228243e-05
gene_3978	2.11307228544578	6.63140624727778	1.90622037901938e-07	1.79832111228243e-05
gene_3966	3.18990532426426	4.9287989937867	1.92145282674318e-07	1.80418105797481e-05
gene_1600	-2.10107118166911	8.04831596541865	1.94109945257186e-07	1.81411163791762e-05
gene_3194	-2.08616174445081	8.16850572285035	1.96032120283186e-07	1.81553420231686e-05
gene_3414	-2.09882887393428	6.23219114095057	1.96077693850221e-07	1.81553420231686e-05
gene_59	-2.0386743356323	9.45116230516432	2.00427714401972e-07	1.84726004057117e-05
gene_2795	-2.34938600424719	6.39908410494216	2.03588296457958e-07	1.86778253631155e-05
gene_1912	-1.94472573853118	10.5699589997361	2.05125626173845e-07	1.87231491410632e-05
gene_556	-2.27183161869631	5.74362805120345	2.06985302384583e-07	1.87231491410632e-05
gene_656	-2.16342706998932	5.67848972485924	2.0764738222076e-07	1.87231491410632e-05
gene_3832	2.03299336457224	10.3119359261981	2.07826955465802e-07	1.87231491410632e-05
gene_3660	2.18946474419316	6.79505215713828	2.09028610310241e-07	1.87469605659409e-05
gene_2360	-2.28204451797728	6.00303360484838	2.11425390196621e-07	1.88772669818411e-05
gene_1691	-2.22840288538805	6.15637524224331	2.14797053073735e-07	1.9093071384332e-05
gene_1152	-2.26057942475782	5.34331436864623	2.19707581739242e-07	1.94431488264816e-05
gene_1228	-2.21241685890486	6.44442685752428	2.20746536335649e-07	1.94490340383832e-05
gene_523	-2.15258006898623	7.2922260903078	2.30458250293647e-07	2.00888647354035e-05
gene_812	-2.18082252156161	6.11770095682334	2.30918418222263e-07	2.00888647354035e-05
gene_1632	-2.03829053438766	7.47795497898131	2.31226219848856e-07	2.00888647354035e-05
gene_3592	-1.9566263428318	9.06034113511657	2.3202638769391e-07	2.00888647354035e-05
gene_1418	-2.10808094460091	6.97960294738163	2.34177523386385e-07	2.0187717533309e-05
gene_1483	-2.30583041975135	11.2686574393171	2.36451058392781e-07	2.02748522720173e-05
gene_3635	2.36158781568301	5.54125760644678	2.37992576314531e-07	2.02748522720173e-05
gene_2881	-1.98938812548809	10.0629313195533	2.39063883826161e-07	2.02748522720173e-05
gene_725	-2.04145132238405	6.63862483818874	2.39243256809804e-07	2.02748522720173e-05
gene_3802	2.03789975185551	6.70449752790914	2.43965558136388e-07	2.05142887128014e-05
gene_1087	-2.19135982633536	5.65529283332053	2.44968147264805e-07	2.05142887128014e-05
gene_3989	2.3254507497973	6.92461551518849	2.45145750117977e-07	2.05142887128014e-05
gene_3805	2.31133288534111	6.07981832220286	2.48449951382579e-07	2.07041626152149e-05
gene_2164	-2.12149192132527	8.01576670268364	2.52916776143307e-07	2.09889440782828e-05
gene_1338	-2.03296688150256	7.74687573359555	2.55768918924666e-07	2.11379271838567e-05
gene_2267	-2.76199577447423	5.51671696104506	2.58642879271778e-07	2.1287479775455e-05
gene_183	-7.71439682147075	2.64422313361057	2.60957223140633e-07	2.13899363230027e-05
gene_3949	2.10924558700035	5.91572851920934	2.69584699637317e-07	2.19794033589953e-05
gene_3742	2.0717331613577	6.48811467668134	2.70346661315642e-07	2.19794033589953e-05
gene_3614	2.39883072891903	9.09982085154594	2.74256976507805e-07	2.22070426322109e-05
gene_37	-2.66867450124513	4.68089509647884	2.78643648034208e-07	2.24712619382426e-05
gene_584	-2.11867058758544	8.67690561934881	2.81151648312223e-07	2.25242895132126e-05
gene_3601	2.10911589621837	7.16290481073059	2.81553618915158e-07	2.25242895132126e-05
gene_1252	-2.71720817745677	4.52842014979418	2.82711409977436e-07	2.25268055758913e-05
gene_1717	-2.24881666217649	7.44547738991699	2.93646048315046e-07	2.33052419297656e-05
gene_3730	2.0603616548425	6.15244923904975	2.96062982409608e-07	2.34041883327753e-05
gene_3071	-2.22995331825954	5.65132432153649	2.99765305232101e-07	2.35255300912237e-05
gene_1812	-2.39281320893097	5.55292665259123	2.99950508663102e-07	2.35255300912237e-05
gene_3158	-2.54720244853492	5.36992524474797	3.01250698741725e-07	2.35352108391973e-05
gene_2324	-2.09319172718951	9.06640550808859	3.05880601467824e-07	2.37316847228576e-05
gene_2872	-2.3928107165102	6.63979983033889	3.06362766929527e-07	2.37316847228576e-05
gene_1681	-2.23953093164563	5.56076995929276	3.0769223247472e-07	2.37316847228576e-05
gene_1044	-3.08279933875567	5.68397949368725	3.08511901397149e-07	2.37316847228576e-05
gene_3961	3.21882195013778	5.40359837362539	3.09758888428199e-07	2.37363132895171e-05
gene_335	-8.5559752553269	3.39702612435459	3.11438993658101e-07	2.37739689815344e-05
gene_3277	-1.94215897674571	8.8746108853556	3.1337354085959e-07	2.38306875178396e-05
gene_16	-2.11594707510966	5.84918558471573	3.16093205454598e-07	2.39081230596578e-05
gene_2812	-2.2004990307421	7.62422882837778	3.16782630540466e-07	2.39081230596578e-05
gene_667	-2.08299419282531	6.70911664930064	3.22004231565133e-07	2.4175090316432e-05
gene_3321	-2.58940756736044	5.27824678963548	3.22959558504942e-07	2.4175090316432e-05
gene_2021	-2.86100284441209	5.77034116219593	3.24814833675919e-07	2.4175090316432e-05
gene_3886	2.5335634956134	7.90900183157024	3.25154964756011e-07	2.4175090316432e-05
gene_1450	-1.97657963779422	6.84321295412172	3.28134109205544e-07	2.43062303115218e-05
gene_43	-2.148843305548	6.17316062352123	3.29735502570033e-07	2.43347234369028e-05
gene_925	-1.90655458113455	8.70664267456794	3.32151717050245e-07	2.44229203713416e-05
gene_3156	-2.21409862046368	6.81531363615081	3.35835787720765e-07	2.46033544117776e-05
gene_2731	-2.28420402659523	5.25354728452289	3.44757384517965e-07	2.51647725925522e-05
gene_1019	-1.95624087189762	7.83687089171119	3.46420608162481e-07	2.51924356467725e-05
gene_3999	3.45279324094965	3.82390738557438	3.47655611925461e-07	2.51924356467725e-05
gene_3900	2.6310344822137	5.30524764000003	3.51724503526486e-07	2.53952710127426e-05
gene_157	-2.00214996091844	6.74113156626076	3.58411029476899e-07	2.56982786492211e-05
gene_2695	-1.93725694124002	9.33453728766558	3.58490987156634e-07	2.56982786492211e-05
gene_2097	-1.95385028737289	8.91282300818078	3.60424126189088e-07	2.57153256550123e-05
gene_3889	2.03901931244949	6.34985780399849	3.62875666328013e-07	2.57153256550123e-05
gene_2013	-2.12877344096857	11.6000850502949	3.6362376079785e-07	2.57153256550123e-05
gene_1048	-1.98509391742007	7.32615151250798	3.64494795373466e-07	2.57153256550123e-05
gene_2593	-2.28337857213655	5.42049218292538	3.65157624301174e-07	2.57153256550123e-05
gene_3590	-1.94947816581499	7.39213849897946	3.77681119782917e-07	2.6436807013281e-05
gene_2094	-2.73317429496696	6.39183684010512	3.78046340289918e-07	2.6436807013281e-05
gene_1940	-2.36246955320292	5.69908677038765	3.84289044151565e-07	2.67797243311195e-05
gene_2341	-2.25301312682728	6.45006063933604	3.87263231601604e-07	2.68932799723336e-05
gene_3808	2.24817561648389	8.71518011304467	3.89375989428069e-07	2.69303570429837e-05
gene_182	-1.97795058866386	6.79845714541877	3.90490177123264e-07	2.69303570429837e-05
gene_3312	-1.93622015038286	11.8550932524273	3.94843926848006e-07	2.71370396459111e-05
gene_3815	2.17650101511427	8.85762340176174	4.00366399560117e-07	2.74223561342546e-05
gene_3146	-1.92409887801114	8.20354875426246	4.02659426305526e-07	2.74852850720496e-05
gene_113	-1.9678949177142	8.60832367535021	4.07173905987528e-07	2.76989051692196e-05
gene_308	-2.25767544498837	5.21582538290573	4.11223706112041e-07	2.77712438660426e-05
gene_132	-1.95695863175935	6.92374175159867	4.12132213582589e-07	2.77712438660426e-05
gene_3536	-2.06994285786261	9.95618606569401	4.12402971410732e-07	2.77712438660426e-05
gene_591	-1.94580205088532	9.62046666762438	4.20122589677597e-07	2.8196146958228e-05
gene_149	-2.15686339007028	5.48120749233697	4.2703500436491e-07	2.856421433879e-05
gene_2798	-2.61002147672243	9.65579215060337	4.31554926760119e-07	2.87703284506746e-05
gene_114	-2.26179202725265	7.12250328396717	4.39189231738089e-07	2.91820087533614e-05
gene_962	-2.29209285901146	5.59072840600028	4.43099205262211e-07	2.93443182292855e-05
gene_3387	-3.75409146292136	4.78531751275866	4.48907066230866e-07	2.96308294541826e-05
